Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
55,Sodium Chloride Injection IP 0.9 %w/v,LV4985,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
56,Sodium Chloride Injection IP 0.9 %w/v,LV4982,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
57,Sodium Chloride Injection IP 0.9 %w/v,LV4978,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
58,Sodium Chloride Injection IP 0.9 %w/v,LV4988,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205","Particulate matter, Bacterial endotoxins and Sterility","RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
59,Doxycycline Capsules IP 100 mg,B240705,May-24,Apr-26,"M/s.Bochem Healthcare Pvt. Ltd., 83-84, Industrial Area, Dewas Road, Nagziri, Ujjain 45601-(M.P.) India",Dissolution of Doxycycline,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
60,Levetiracetam Tablets IP 500 mg,LMT241488,Dec-24,Nov-26,"M/s.Life Max Cancer Laboratories Plot No. 106 & 106A, Sector-6A, IIE, SIDCUL, Haridwar-249403 (U.K)",Dissolution,"CDTL, Indore",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
1,Dextrose Injection I.P. 5%w/v (D5),Jan-98,Jan-25,Dec-27,"M/s. Tam-Bran Pharmaceuticals Pvt. Ltd., Plot No. 212 & 216, Sector-1, Industrial Area, Pithampur, District-Dhar (M.P.) India- 454775",Assay of Dextrose (Anhydrous),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
2,Dexamethasone Sodium Phosphate Injection I.P. (Dexacos),P24L220,Dec-24,Nov-26,"M/s. Paksons pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Free Dexamethasone, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
3,Methylcobalamin Injection,S4H046,Aug-24,Jan-26,"M/s. Arion Healthcare, Vill. Kishanpura, Baddi, Distt. Solan-174101(H.P.)","Assay of Methylcobalamin, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
4,Tranexamic Acid Injection IP 500 mg/5ml,Z24-185,Feb-24,Jan-26,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Related Substances and Assay of Tranexamic Acid,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
5,Oxytocin Injection I.P. 1ml,AOX-2402,Apr-24,Mar-26,"M/s. Systochem Laboratories Ltd., B-75 Roop Nagar, Indl. Area, Loni-201102(U.P.)",Assay of Oxytocin,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
6,"Calcium Aspartate, Calcium Orotate, Calcitriol Minerals And Vitamin Tablets",EZF-2107,Nov-24,Apr-27,"M/s. Overseas Health Care Pvt. Ltd., 335 Km. Milestone, National Highway No. 1, P.O. Box No. 25, Phillaur - 144 410 (Pb.)","Assay of Calcitriol, Zinc, Magnesium Hydroxide and Folic Acid","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
7,Ascorbic Acid Injection I.P. (Vitson-C),P25L269,Feb-25,Jan-27,"M/s. Paksons Pharmaceuticals Private Limitated, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh- 124507, Haryana",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
8,Adrenaline Injection IP (Aline Injection 1 ml.),AL-92,Feb-25,Apr-26,"M/s. Aster Medicines Pvt. Ltd., Plot No. E4(Part), Industrial Area Phase II, Hazipur-844101",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
9,Calcium Gluconate Injection I.P. 10 ml.,MV24B36,Feb-24,Jan-26,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","Particulate Matter, Extractable Volume and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
10,Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Sesarab-DSR Capsules ),CG23-0372F,Sep-23,Aug-25,"M/s. Athens Life Sciences, Mauza Rampur Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",Assay of Rabeprazole Sodium,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
11,Heparin Injection IP 5000 IU/ml (Flagorin),DP2143,Aug-22,Jun-25,"M/s. Divine Laboratories Pvt. Ltd., Block No. 471, Dabhasa, Tal. Padra, Dist. Vadodara- 391440, India",pH and Assay of Heparin (Anti- factor-IIa activity),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
12,Adrenaline Bitartrate Injection I.P. 1 ml (Aderson Inj.),P25L262,Feb-25,Jul-26,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Particulate Matter, pH and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
13,Methylcobalamin 1500 mcg (Nuroark),JIN24-041,Aug-24,Jan-26,"M/s. Janya Biocare Pvt. Ltd., Khasra No.-169, Tanshipur, Roorkee (U.K.)",Description and Particulate Matter,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
14,"Calcium Aspartate, Calcium Orotate, Calcitriol, Minerals and Vitamins Tablets",EZF-2067,Oct-24,Mar-27,"M/s. Overseas Health Care Pvt. Ltd. 335 km, Milestone National Highway No. 1 P.O. Box No. 25, Phillaur-144 410(Pb.)","Assay/ Content of Folic Acid, Zinc and Magnesium Hydroxide","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
15,Fosfomycin Phenyl Ethyl Amine,20240901,12-09-2024,11-09-2026,"M/s. Shayamg Qinjiang Chemical, Add:-No. I Qinjing Chemical Park, Shayang Economic Development Zone, Hubei, China, Postal Code- 448200",Specific Optical Rotation,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
16,Gentamicin Injection IP (Gentacos),P24L199,Dec-24,Nov-26,"M/s. Paksons Pharmaceuticals Private Limited, Delhi Rohtak Road, Ganpati Industrial area, Sankhol, Bahadurgarh- 124507(HR), INDIA","Sterility, Particulate Matter and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
17,Docetaxel Anhydrous IP,DXT2024120 40,Dec-24,Dec-26,"M/s. Sanghai Jinhe Bio- Pharmaceutical Co. Ltd. 508, Maodian Road, Qingpu District, Shanghai-201716, China",Water,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
18,Ketoconazole & Zinc Pyrithione Shampoo (Ketocross Shampoo),L25Y2002,Mar-25,Feb-27,"M/s. Om Sai Pharma Pack, Plot No. 38 & 39,Sector- 11,IIE,SIDCUL,Distt. Haridwar, Uttarakhand-249403",A s s a y o f Z i n c Pyrithione,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
19,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit B 12)",VHI034047,Aug-24,Jul-26,"M/s. Vidit Healthcare, Village Kishanpura, Paonta Sahib, Distt. Sirmour, H.P.-173025",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
20,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection)",IEW1433B,Jul-24,Jun-26,"M/s. E.G. Pharmaceuticlas, Vill. Mandhala, Teh. Baddi, Distt. Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
21,Rabeprazole Sodium Injection I.P.,MD23H23,Aug-23,Jul-25,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","pH, Clarity of Solution, Particulate Matter, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
22,Clotrimazole Ear Drops,CLT-214A,Aug-24,Jul-26,"M/s. Pushkar Pharma, Kheri, Kala-Amb-173030 (H.P.)",Assay of Clotrimazole,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
23,Raberpazole (EC) & Domperidone (SR) Capsules (Rabeton-DSR),SC-15114,Oct-24,Sep-27,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Assay of Rabeprazole Sodium,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
24,Telmisartan Tablets IP 40 mg,ALPT-051,Jul-24,Jun-26,"M/s. Alifecare Pharmacy Pvt Ltd, VPO-Barog, Teh & Distt. Solan (H.P.) -173212",Dissolution of Telmisartan,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
25,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no: IEW1480C, IEW-1480B",Sep-24,Aug-26,"M/s. E.G.Pharmaceuticals, Vill. Mandhala, Tehsil: Baddi Distt.Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
26,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no: IEW-1487C, IEW-1487B",0 9 /2024,Aug-26,"M/s. E.G.Pharmaceuticals, Vill. Mandhala, Tehsil: Baddi Distt.Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
27,3% Sodium Chloride Injection USP,G25B016,Feb-25,Jan-27,"M/s. Inven Pharmaceuticals Pvt. Ltd., Village Kalsada Khurd, District-Dhar (M.P.)- 454001",Particulate Matter in Injections,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
28,Ondansetron Injection IP (Ondson Inj.),P24L189,Nov-24,Oct-26,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
29,Sitagliptin & Metformin Tablets 50mg + 1000mg (Sitajack-M),T-2672,Sep-24,Aug-26,"M/s. Jackson Laboratories Pvt.Ltd. 22-24, Majitha Road, Bye Pass, Amritsar- 143001(India)",Assay of Sitagliptin,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
30,Cefotaxime Sodium Injection IP 1g,1172,Aug-23,Jul-25,"M/s. Hindustan Antibiotics Ltd., Pimpri,Pune-411018,India",Water,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
31,Amikacin Sulphate Injection IP (Lamic-500 Injection ),L-24K-31H,Nov-24,Oct-26,"M/s. Inmac Laboratories, Bangsipura-142033 (Pb.)","Particulate Matter, Assay and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
32,Pantoprazole Sodium for Injection (K Pan-IV Injection),GD24L-27H,Dec-24,Nov-26,"M/s. Vellinton Healthcare, Trilokpur Road,Vill-Rampur Jattan, Kala-Amb-173030 Distt. Sirmour (H.P.)",Sterility,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
33,Pantoprazole Gasrro- Resistant and Domperidone Prolonged Release Capsules IP (Prazentasure-DSR Capsules),NC24004,Sep-24,Aug-26,"M/s. Nexkem Pharmaceuticals Pvt. Ltd., Plot No.119, HPSIDC Industrial Area Baddi, Dist. Solan (H.P.)-173205",Dissolution of Pantoprazole in Buffer Stage,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
34,Diclofenac Sodium Injection IP (ZOR INJ.),P25L265,Feb-25,Jan-27,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana",Extractable Volume,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
35,Rabeprazole Sodium Injection IP,MD23H12,Aug-23,Jul-25,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","pH, Clarity of Solution, Uniformity of Weight, Particulate Matter and Assay of Rabeprazole Sodium","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
36,Amoxycillin and Potassium Clavulanate Injection IP,ACP-738A,Sep-23,Aug-25,"M/s. Pushkar Pharma, Kheri, Kala-Amb-173030 (H.P.)",Assay of Potassium Clavulanate equivalent to Clavulanic Acid,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
37,"Methycobalamin, Calcitriol, Omega-3 Fatty Acids (EPA & DHA), Folic Acid, Boron, Calcium Carbonate Softgel Capsules (Biofil-Max Softgel Capsules )",HPDJ24170,Oct-24,Sep-26,"M/s. Healthwise Pharma, VPO Bhud, Teh.Baddi, Distt-Solan (H.P.)-173205","Assay of Docosahexaenoic Acid,Eicosapentaen oic acid","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
38,Paracetamol Intravenous Infusion (1.0% w/v ),E25B026,Feb-25,Jan-28,"M/s. D.J. Laboratories Pvt. Ltd., 255, Sector-1, Industrial Area, Pithampur-454775",Particulate Contamination,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
39,Telmisartan Tablets IP 40 mg,TLL-504,Jan-25,Dec-26,"M/s.Healers Lab Unit II, Plot No. 33, H.P.S.I.D.C., Extn.,Baddi, Distt-Solan (H.P)",Dissolution of Telmisartan,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
40,Telmisartan Tablets IP 40 mg,TLL-503,Jan-25,Dec-26,"M/s.Healers Lab Unit II, Plot No. 33, H.P.S.I.D.C., Extn.,Baddi, Distt-Solan (H.P)",Dissolution of Telmisartan,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
41,Telmisartan Tablets IP (Telzasig 20),TEZC25001,Apr-25,Mar-27,"M/s.Signova Healthcare Pvt. Ltd (Unit-II), EPIP Silasundari,",Dissolution of Telmisartan,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
42,Infusion Set-NV,KT-071,Nov-24,Oct-27,"M/s. Medivision Healthcare, 84/4 Span Industrial complex. Second Floor, Phase-1, F Road, Opp. Kotak Mahindra Bank, G.I. D.C. Vatva, Ahmedabad- 382445",Sterillity,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
43,Calcium & Vitamin D3 Tablets IP (Calciven-500),T-240267,Jun-24,May-26,"M/s. Sunlife Sciences,, 130, Kurdi, Jhabrera Road, Manglour, Roorkee, Distt. Haridwar (U.K.)",Assay of Vitamin D3,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
44,Pantoprazole Tablets IP 20 mg (Opipan- 20),23G-T1503,Oct-23,Sep-25,"M/s. Orison Pharma International, Vill. Khari, Mauza Ogli, Kala Amb, Distt. Sirmour - 173030 (H.P.)",Dissolution in Acid Stage & Description,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
45,Azithromycin Tablets IP 500 mg.,AYC-2407,Jan-24,Dec-25,"M/s.Apple Formulations Pvt. Ltd., Plot No.208, Kishanpur, Roorkee- 247667(U.K.)",Dissolution of Azithromycin,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
46,Colestyramine BP,SB43/001M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
47,Cholestyramine Resin USP,SB45/001M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
48,Colestyramine EP,SB48/001M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
49,"0.45 % w/v Sodium Chloride and 5 % w/v Dextrose Injection I.P. (0.45 % DNS), 500 ml",S3BX05,Nov-24,Oct-26,"M/s.Swaroop Pharmaceuticals Pvt. Ltd., A-10, Tala Nagari Industiral Area, Aligarh 202001.",Test for Sterility,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
50,Sodium Polystyrene Sulfonate EP,SC42/048M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
51,Sodium Polystyrene Sulfonate USP,SC25/048M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Water determination,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
52,Sodium Polystyrene Sulfonate BP,SC27/048M/ 24,Jul-24,Jul-29,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC,",Loss on drying,CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
53,Nitrofurantoin Tablets I.P 100 mg,NFDT1201,Oct-24,Sep-26,"M/s. Unicure India Ltd., C - 21, 22 & 23, Sector- 3, Noida - 201301, Distt. : Gautam Budh Nagar (U.P.)",Dissolution,CDTL Indore,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
54,Glipizide & Metformin Tablets I.P,Z24-011,Jan-24,Dec-26,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta sahib - 173025",Description,CDTL Indore,,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
55,Cefpodoxime Dispersible Tablets 200 mg (Xpocef 200 DT),XCT24078C,Nov-24,Oct-26,"M/s.Xperia Creation, Survey No. 915/2, Block Part- A, Jetalpur Pirana Road, At & Post.-Girmatha Village, Tal.- Daskori, Dist-Ahmedabad- 382425, Gujarat.",Uniformity of Dispersion,"CDTL, Hyderabad",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,Medium
1,Cefixime Tablets IP(TAXIM-O 200 TABLETS),24460967,Jul-24,Jun-26,Under Investigation,Identification and Assay of Cefixime Trihydrate,,"Drugs Inspector, Bihar","The product is purported to be spurious, however, the same is subject to outcome of investigation.",Spurious,CDSCO,List of spurious Drugs June-2025.pdf,High
,,,,,,,,,,,,,Review Required
,,,,,,,,,,,,,Review Required
2,Ointment of HeparinSodium and Benzyl(THROMBOPHOB),I404138,Aug-24,Jul-27,Under Investigation,Identification and Assay of Heparin Sodium,,"Drugs Inspector, New Delhi","The product is purported to be spurious, however, the same is subject to outcome of investigation.",Spurious,CDSCO,List of spurious Drugs June-2025.pdf,High
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,Rosuvas F 10 Tablets Rosuvastatin and Fenofibrate Tablets IP,SIF2676A,Dec-24,May-27,Under Investigation,Description and Assay of Fenofibrate,,"Drugs Inspector, Telangana","The product is purported to be spurious, however, the same is subject to outcome of investigation.",Spurious,CDSCO,List of spurious Drugs June-2025.pdf,High
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,Rosuvas F 20 Tablets Rosuvastatin and Fenofibrate Tablets IP,May-27,Under Investigation,Assay of Fenofibrate,Drugs Inspector Telangana,The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,High
1,Telmisartan Tablets I.P. 40mg (Telma 40),5240226,Feb-24,Jan-27,Under Investigation,Dissolution,,"Drugs Inspector, Bihar","The product is purported to be spurious, however, the same is subject to outcome of investigation.",Spurious,CDSCO,md Vaccine and Cosmetics declared as Spurious for the Month of May-2025.pdf,High
2,Telmisartan Tablets IP 40mg (Telma 40),K18230707,Jun-24,May-27,Under Investigation,Identification and Assay of Telmisartan,,"Drugs Inspector, Bihar","The product is purported to be spurious, however, the same is subject to outcome of investigation.",Spurious,CDSCO,md Vaccine and Cosmetics declared as Spurious for the Month of May-2025.pdf,High
1,"Norfloxacin Tablets IP 400 mg,",RNFT- 0 1 6,Oct-24,Sep-26,"Mfg By: Revat Laboratories Pvt.Ltd, 1 2 - 3 2 1 , O p p I D A K u r n o o l r o a d , Pernamitta, Ongole - 523002 Andhra Pradesh.",Dissolution does not c o m p ly a s p e r I P 2 0 2 2 .,"State Lab, D r u g s C o n t r o l L a b o r a t o r y , Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
2,"Parenteral preprations, Oxytetracycline Hydrochloride Injection I.P. (Steclin Injection), Veterinary",STIA23 93,Nov-23,Oct-25,"Mfg By: Zenex Animal Health India Pvt.Ltd, Plot No. 1&2, Near Erthardt Leimer, Sarkhej Bawla Highway, Sari Patiya, Dist: Ahmedabad - 382220. Gujarat.",Sample does not comply description as per IP 2022 Oxytetracycline Hydrochloride Injection I.P (Veterinary Monograph),"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
3,"Telmivaz Tablets, Telmisartan Tablets IP 40mg,",CMT242 202B,Nov-24,Oct-26,"Mfg By: Mascot Healthseries Pvt.Ltd, At - Plot No. 52, Sec-6A, IIE, Sidcul, Haridwar - 249 403, Uttarakhand. Mrkt: Saanso Life Sciences Pvt.Ltd, 1 st Floor, Quadrant 2, A1, Cyber Towers, Hitech city, Madhapur, Hyderabad, Telangana - 500081.","The tablet coating was found to adhere to the foil, a n d it w a s o b s e r v e d t h a t the coating peeled off during the removal of the tablets from the strip. Hence, the sample does not comply with the test for Description of Tablets.","State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
4,Norfloxacin Tablets IP 400mg,RNFT- 0 1 7,Oct-24,Sep-26,"Mfg By: Revat Laboratories Pvt.Ltd, 12-321, Opp IDA Kurnool road, Pernamitta, Ongole - 523002 Andhra Pradesh.",Sample Does not complies in respect of Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
5,Folic Acid Tablets IP 5mg,TS7552,Jan-24,Dec-25,"Mfg By: Adroit Pharmaceuticals Pvt.Ltd, 46, Garoba Maidan, Nagpur - 8, Maharashtra.",Sample Does not complies in respect of Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
6,"Albendazole Tablets IP 400mg,",T24/009 A,Dec-24,Nov-26,"Mfg By: Samkem 15-B & 10-B, Akvn Industrialarea, Rangwasa, Rao, Indore - 453331, (MP), Madhya Pradesh.",Sample Does not complies in respect of Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
7,"Albendazole Tablets IP 400mg,",T24/017 A,Dec-24,Nov-26,"Mfg By: Samkem 15-B & 10-B, Akvn Industrialarea, Rangwasa, Rao, Indore - 453331, (MP), Madhya Pradesh.",Sample Does not complies in respect of Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
8,"Panaval-40 tablets, Pantoprazole Gastro-resistant tablets IP 40 mg,",BLT- 231650,Feb-24,Jan-26,"Mfg By: Brit Life science Sainwala, Kaula Wala Bhoodroad, Kala Amb, Distt. Sirmour, HP-173 030. Himachal Pradesh. Mrkt: M/s. Avel Life Sciences.","The sample does not complies for Dissolution test a per IP Secifications, hence the sample is of Not of Standard Quality.","State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
9,"Albendazole Tablets I.P. 400 mg,",C25F94 4017,Jun-24,May-26,"Mfg By: Concept Pharmaceuticals Ltd, Khasra No. 104, Asaf Nagar, Roorkee - 247 667. Uttarakhand.","The sample does not meet the Dissolution test p a r a m e t e r a s per IP specifications, hence it is of Not of Standard Quality.","State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
10,"Albendazole Tablets IP 400 mg,",T24/024 A,Dec-24,Nov-26,"Mfg By: M/s. Samkem 15-B & 10-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore - 453331. (M.P). Madhya Pradesh.",Sample does not meets the Specifications wrt. Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
11,"Albendazole Tablets IP 400 mg,",T24/010 A,Dec-24,Nov-26,"Mfg By: M/s. Samkem 15-B & 10-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore - 453331. (M.P). Madhya Pradesh. (WHO-GMP & GLP Certified Company)(An ISO 9001: 2015 Certified Company) Madhya Pradesh.",Sample does not meets the Specifications wrt. Dissolution Test as per IP.,"State Lab, Drugs Control Laboratory, Telangana.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
