S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
53.,Sodium Chloride Injection IP 0.9 %w/v,LV4983,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
54.,Sodium Chloride Injection IP 0.9 %w/v,LV4984,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
55.,Sodium Chloride Injection IP 0.9 %w/v,LV4985,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
56.,Sodium Chloride Injection IP 0.9 %w/v,LV4982,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
57.,Sodium Chloride Injection IP 0.9 %w/v,LV4978,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
58.,Sodium Chloride Injection IP 0.9 %w/v,LV4988,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205","Particulate matter, Bacterial endotoxins and Sterility","RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
59.,Doxycycline Capsules IP 100 mg,B240705,05/2024,04/2026,"M/s.Bochem Healthcare Pvt. Ltd., 83-84, Industrial Area, Dewas Road, Nagziri, Ujjain 45601-(M.P.) India",Dissolution of Doxycycline,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
60.,Levetiracetam Tablets IP 500 mg,LMT241488,12/2024,11/2026,"M/s.Life Max Cancer Laboratories Plot No. 106 & 106A, Sector-6A, IIE, SIDCUL, Haridwar-249403 (U.K)",Dissolution,"CDTL, Indore",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
1.,Dextrose Injection I.P. 5%w/v (D5),1-3098,,12/2027,"M/s. Tam-Bran Pharmaceuticals Pvt. Ltd., Plot No. 212 & 216, Sector-1, Industrial Area, Pithampur, District-Dhar (M.P.) India- 454775",Assay of Dextrose (Anhydrous),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,01/2025,,,,,,,,,,,,,,,,,
2.,Dexamethasone Sodium Phosphate Injection I.P. (Dexacos),P24L220,,11/2026,"M/s. Paksons pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Free Dexamethasone, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,12/2024,,,,,,,,,,,,,,,,,
3.,Methylcobalamin Injection,S4H046,,01/2026,"M/s. Arion Healthcare, Vill. Kishanpura, Baddi, Distt. Solan-174101(H.P.)","Assay of Methylcobalamin, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2024,,,,,,,,,,,,,,,,,
4.,Tranexamic Acid Injection IP 500 mg/5ml,Z24-185,,01/2026,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Related Substances and Assay of Tranexamic Acid,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2024,,,,,,,,,,,,,,,,,
5.,Oxytocin Injection I.P. 1ml,AOX-2402,,03/2026,"M/s. Systochem Laboratories Ltd., B-75 Roop Nagar, Indl. Area, Loni-201102(U.P.)",Assay of Oxytocin,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,04/2024,,,,,,,,,,,,,,,,,
6.,"Calcium Aspartate, Calcium Orotate, Calcitriol Minerals And Vitamin Tablets",EZF-2107,,04/2027,"M/s. Overseas Health Care Pvt. Ltd., 335 Km. Milestone, National Highway No. 1, P.O. Box No. 25, Phillaur - 144 410 (Pb.)","Assay of Calcitriol, Zinc, Magnesium Hydroxide and Folic Acid","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
7.,Ascorbic Acid Injection I.P. (Vitson-C),P25L269,,01/2027,"M/s. Paksons Pharmaceuticals Private Limitated, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh- 124507, Haryana",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
8.,Adrenaline Injection IP (Aline Injection 1 ml.),AL-92,,04/2026,"M/s. Aster Medicines Pvt. Ltd., Plot No. E4(Part), Industrial Area Phase II, Hazipur-844101",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
9.,Calcium Gluconate Injection I.P. 10 ml.,MV24B36,,01/2026,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","Particulate Matter, Extractable Volume and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2024,,,,,,,,,,,,,,,,,
10.,Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Sesarab-DSR Capsules ),CG23-0372F,,08/2025,"M/s. Athens Life Sciences, Mauza Rampur Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",Assay of Rabeprazole Sodium,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,09/2023,,,,,,,,,,,,,,,,,
11.,Heparin Injection IP 5000 IU/ml (Flagorin),DP2143,,06/2025,"M/s. Divine Laboratories Pvt. Ltd., Block No. 471, Dabhasa, Tal. Padra, Dist. Vadodara- 391440, India",pH and Assay of Heparin (Anti- factor-IIa activity),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2022,,,,,,,,,,,,,,,,,
12.,Adrenaline Bitartrate Injection I.P. 1 ml (Aderson Inj.),P25L262,,07/2026,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Particulate Matter, pH and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
13.,Methylcobalamin 1500 mcg (Nuroark),JIN24-041,,01/2026,"M/s. Janya Biocare Pvt. Ltd., Khasra No.-169, Tanshipur, Roorkee (U.K.)",Description and Particulate Matter,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2024,,,,,,,,,,,,,,,,,
14.,"Calcium Aspartate, Calcium Orotate, Calcitriol, Minerals and Vitamins Tablets",EZF-2067,,03/2027,"M/s. Overseas Health Care Pvt. Ltd. 335 km, Milestone National Highway No. 1 P.O. Box No. 25, Phillaur-144 410(Pb.)","Assay/ Content of Folic Acid, Zinc and Magnesium Hydroxide","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,10/2024,,,,,,,,,,,,,,,,,
15.,Fosfomycin Phenyl Ethyl Amine,20240901,,11-09- 2026,"M/s. Shayamg Qinjiang Chemical, Add:-No. I Qinjing Chemical Park, Shayang Economic Development Zone, Hubei, China, Postal Code- 448200",Specific Optical Rotation,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,12-09-2024,,,,,,,,,,,,,,,,,
16.,Gentamicin Injection IP (Gentacos),P24L199,,11/2026,"M/s. Paksons Pharmaceuticals Private Limited, Delhi Rohtak Road, Ganpati Industrial area, Sankhol, Bahadurgarh- 124507(HR), INDIA","Sterility, Particulate Matter and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,12/2024,,,,,,,,,,,,,,,,,
17.,Docetaxel Anhydrous IP,DXT2024120 40,,12/2026,"M/s. Sanghai Jinhe Bio- Pharmaceutical Co. Ltd. 508, Maodian Road, Qingpu District, Shanghai-201716, China",Water,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,12/2024,,,,,,,,,,,,,,,,,
18.,Ketoconazole & Zinc Pyrithione Shampoo (Ketocross Shampoo),L25Y2002,,02/2027,"M/s. Om Sai Pharma Pack, Plot No. 38 & 39,Sector- 11,IIE,SIDCUL,Distt. Haridwar, Uttarakhand-249403",A s s a y o f Z i n c Pyrithione,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,03/2025,,,,,,,,,,,,,,,,,
19.,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit B 12)",VHI034047,,07/2026,"M/s. Vidit Healthcare, Village Kishanpura, Paonta Sahib, Distt. Sirmour, H.P.-173025",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2024,,,,,,,,,,,,,,,,,
20.,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection)",IEW1433B,,06/2026,"M/s. E.G. Pharmaceuticlas, Vill. Mandhala, Teh. Baddi, Distt. Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
21.,Rabeprazole Sodium Injection I.P.,MD23H23,,07/2025,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","pH, Clarity of Solution, Particulate Matter, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2023,,,,,,,,,,,,,,,,,
22.,Clotrimazole Ear Drops,CLT-214A,,07/2026,"M/s. Pushkar Pharma, Kheri, Kala-Amb-173030 (H.P.)",Assay of Clotrimazole,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2024,,,,,,,,,,,,,,,,,
23.,Raberpazole (EC) & Domperidone (SR) Capsules (Rabeton-DSR),SC-15114,,09/2027,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Assay of Rabeprazole Sodium,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,10/2024,,,,,,,,,,,,,,,,,
24.,Telmisartan Tablets IP 40 mg,ALPT-051,,06/2026,"M/s. Alifecare Pharmacy Pvt Ltd, VPO-Barog, Teh & Distt. Solan (H.P.) -173212",Dissolution of Telmisartan,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
25.,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no: IEW1480C, IEW-1480B",,08/2026,"M/s. E.G.Pharmaceuticals, Vill. Mandhala, Tehsil: Baddi Distt.Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,09/2024,,,,,,,,,,,,,,,,,
26.,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12 Injection )","B.no: IEW-1487C, IEW-1487B",,08/2026,"M/s. E.G.Pharmaceuticals, Vill. Mandhala, Tehsil: Baddi Distt.Solan (H.P.)",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,0 9 /2024,,,,,,,,,,,,,,,,,
27.,3% Sodium Chloride Injection USP,G25B016,,01/2027,"M/s. Inven Pharmaceuticals Pvt. Ltd., Village Kalsada Khurd, District-Dhar (M.P.)- 454001",Particulate Matter in Injections,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
28.,Ondansetron Injection IP (Ondson Inj.),P24L189,,10/2026,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
29.,Sitagliptin & Metformin Tablets 50mg + 1000mg (Sitajack-M),T-2672,,08/2026,"M/s. Jackson Laboratories Pvt.Ltd. 22-24, Majitha Road, Bye Pass, Amritsar- 143001(India)",Assay of Sitagliptin,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,09/2024,,,,,,,,,,,,,,,,,
30.,Cefotaxime Sodium Injection IP 1g,1172,,07/2025,"M/s. Hindustan Antibiotics Ltd., Pimpri,Pune-411018,India",Water,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2023,,,,,,,,,,,,,,,,,
31.,Amikacin Sulphate Injection IP (Lamic-500 Injection ),L-24K-31H,,10/2026,"M/s. Inmac Laboratories, Bangsipura-142033 (Pb.)","Particulate Matter, Assay and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
32.,Pantoprazole Sodium for Injection (K Pan-IV Injection),GD24L-27H,,11/2026,"M/s. Vellinton Healthcare, Trilokpur Road,Vill-Rampur Jattan, Kala-Amb-173030 Distt. Sirmour (H.P.)",Sterility,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,12/2024,,,,,,,,,,,,,,,,,
33.,Pantoprazole Gasrro- Resistant and Domperidone Prolonged Release Capsules IP (Prazentasure-DSR Capsules),NC24004,,08/2026,"M/s. Nexkem Pharmaceuticals Pvt. Ltd., Plot No.119, HPSIDC Industrial Area Baddi, Dist. Solan (H.P.)-173205",Dissolution of Pantoprazole in Buffer Stage,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,09/2024,,,,,,,,,,,,,,,,,
34.,Diclofenac Sodium Injection IP (ZOR INJ.),P25L265,,01/2027,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana",Extractable Volume,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
35.,Rabeprazole Sodium Injection IP,MD23H12,,07/2025,"M/s. Martin & Brown Bio- Sciences Pvt.Ltd., K.No- 918/419, Malkumajra, Nalagarh Road, Baddi, Dist- Solan, HP-173205","pH, Clarity of Solution, Uniformity of Weight, Particulate Matter and Assay of Rabeprazole Sodium","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,08/2023,,,,,,,,,,,,,,,,,
36.,Amoxycillin and Potassium Clavulanate Injection IP,ACP-738A,,08/2025,"M/s. Pushkar Pharma, Kheri, Kala-Amb-173030 (H.P.)",Assay of Potassium Clavulanate equivalent to Clavulanic Acid,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,09/2023,,,,,,,,,,,,,,,,,
37.,"Methycobalamin, Calcitriol, Omega-3 Fatty Acids (EPA & DHA), Folic Acid, Boron, Calcium Carbonate Softgel Capsules (Biofil-Max Softgel Capsules )",HPDJ24170,,09/2026,"M/s. Healthwise Pharma, VPO Bhud, Teh.Baddi, Distt-Solan (H.P.)-173205","Assay of Docosahexaenoic Acid,Eicosapentaen oic acid","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,10/2024,,,,,,,,,,,,,,,,,
38.,Paracetamol Intravenous Infusion (1.0% w/v ),E25B026,,01/2028,"M/s. D.J. Laboratories Pvt. Ltd., 255, Sector-1, Industrial Area, Pithampur-454775",Particulate Contamination,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ june25.pdf,02/2025,,,,,,,,,,,,,,,,,
39.,Telmisartan Tablets IP 40 mg,TLL-504,,12/2026,"M/s.Healers Lab Unit II, Plot No. 33, H.P.S.I.D.C., Extn.,Baddi, Distt-Solan (H.P)",Dissolution of Telmisartan,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,01/2025,,,,,,,,,,,,,,,,,
40.,Telmisartan Tablets IP 40 mg,TLL-503,,12/2026,"M/s.Healers Lab Unit II, Plot No. 33, H.P.S.I.D.C., Extn.,Baddi, Distt-Solan (H.P)",Dissolution of Telmisartan,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,01/2025,,,,,,,,,,,,,,,,,
41.,Telmisartan Tablets IP (Telzasig 20),TEZC25001,,03/2027,"M/s.Signova Healthcare Pvt. Ltd (Unit-II), EPIP Silasundari,",Dissolution of Telmisartan,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,04/2025,,,,,,,,,,,,,,,,,
,,,,,"Ghopa, Amingaon, North Guwahati, Assam-781031",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,,,,,,,,,,,,,,,,,,
42.,Infusion Set-NV,KT-071,,10/2027,"M/s. Medivision Healthcare, 84/4 Span Industrial complex. Second Floor, Phase-1, F Road, Opp. Kotak Mahindra Bank, G.I. D.C. Vatva, Ahmedabad- 382445",Sterillity,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
43.,Calcium & Vitamin D3 Tablets IP (Calciven-500),T-240267,,05/2026,"M/s. Sunlife Sciences,, 130, Kurdi, Jhabrera Road, Manglour, Roorkee, Distt. Haridwar (U.K.)",Assay of Vitamin D3,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,06/2024,,,,,,,,,,,,,,,,,
44.,Pantoprazole Tablets IP 20 mg (Opipan- 20),23G-T1503,,09/2025,"M/s. Orison Pharma International, Vill. Khari, Mauza Ogli, Kala Amb, Distt. Sirmour - 173030 (H.P.)",Dissolution in Acid Stage & Description,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,10/2023,,,,,,,,,,,,,,,,,
45.,Azithromycin Tablets IP 500 mg.,AYC-2407,,12/2025,"M/s.Apple Formulations Pvt. Ltd., Plot No.208, Kishanpur, Roorkee- 247667(U.K.)",Dissolution of Azithromycin,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ june25.pdf,01/2024,,,,,,,,,,,,,,,,,
46.,Colestyramine BP,SB43/001M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
47.,Cholestyramine Resin USP,SB45/001M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
48.,Colestyramine EP,SB48/001M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
49.,"0.45 % w/v Sodium Chloride and 5 % w/v Dextrose Injection I.P. (0.45 % DNS), 500 ml",S3BX05,,10/2026,"M/s.Swaroop Pharmaceuticals Pvt. Ltd., A-10, Tala Nagari Industiral Area, Aligarh 202001.",Test for Sterility,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
50.,Sodium Polystyrene Sulfonate EP,SC42/048M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Loss on drying,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
51.,Sodium Polystyrene Sulfonate USP,SC25/048M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC, Murbad, Dist- Thane-421401, Maharastra.",Water determination,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
52.,Sodium Polystyrene Sulfonate BP,SC27/048M/ 24,,07/2029,"M/s. Phaex Polymers Private Limited Plot No. : F-10, MIDC,",Loss on drying,CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ june25.pdf,07/2024,,,,,,,,,,,,,,,,,
,,,,,"Murbad, Dist- Thane-421401, Maharastra.",,,NSQ,CDSCO,CDSCO NSQ june25.pdf,,,,,,,,,,,,,,,,,,
53.,Nitrofurantoin Tablets I.P 100 mg,NFDT1201,,09/2026,"M/s. Unicure India Ltd., C - 21, 22 & 23, Sector- 3, Noida - 201301, Distt. : Gautam Budh Nagar (U.P.)",Dissolution,CDTL Indore,NSQ,CDSCO,CDSCO NSQ june25.pdf,10/2024,,,,,,,,,,,,,,,,,
54.,Glipizide & Metformin Tablets I.P,Z24-011,,12/2026,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta sahib - 173025",Description,CDTL Indore,NSQ,CDSCO,CDSCO NSQ june25.pdf,01/2024,,,,,,,,,,,,,,,,,
55.,Cefpodoxime Dispersible Tablets 200 mg (Xpocef 200 DT),XCT24078C,,10/2026,"M/s.Xperia Creation, Survey No. 915/2, Block Part- A, Jetalpur Pirana Road, At & Post.-Girmatha Village, Tal.- Daskori, Dist-Ahmedabad- 382425, Gujarat.",Uniformity of Dispersion,"CDTL, Hyderabad",NSQ,CDSCO,CDSCO NSQ june25.pdf,11/2024,,,,,,,,,,,,,,,,,
,,24460967,,,Under Investigation,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,1.,,,,Jul-2024,Jun-2026,Identification and Assay of Cefixime Trihydrate,"Drugs Inspector, Bihar",The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,Cefixime Tablets IP,,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,(TAXIM-O 200 TABLETS),,,,,,,,,,,,,,,
,,I404138,,,Under Investigation,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,2.,,,,Aug-2024,Jul-2027,Identification and Assay of Heparin Sodium,"Drugs Inspector, New Delhi",The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,Ointment of Heparin,,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,Sodium and Benzyl,,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,,Nicotinate,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,(THROMBOPHOB),,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,,,,,,,,,,,,,,,,
,,SIF2676A,,,Under Investigation,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,3.,Rosuvas F 10 Tablets Rosuvastatin and,,,12-2024,05-2027,Description and Assay of Fenofibrate,"Drugs Inspector, Telangana",The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,Fenofibrate Tablets,,,,,,,,,,,,,,,
,,,,,,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,,IP,,,,,,,,,,,,,,,
,,05-2027,,,Drugs Inspector Telangana,,,Spurious,CDSCO,List of spurious Drugs June-2025.pdf,,4.,Rosuvas F 20 Tablets Rosuvastatin and Fenofibrate Tablets IP,SIF2736A,12-2024,Under Investigation,Assay of Fenofibrate,The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,,,
,,05240226,,,Under Investigation,,,Spurious,CDSCO,md Vaccine and Cosmetics declared as Spurious for the Month of May-2025.pdf,,1.,Telmisartan Tablets I.P. 40mg (Telma 40),,,Feb-2024,Jan-2027,Dissolution,"Drugs Inspector, Bihar",The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,
,,K18230707,,,Under Investigation,,,Spurious,CDSCO,md Vaccine and Cosmetics declared as Spurious for the Month of May-2025.pdf,,2.,Telmisartan Tablets IP 40mg (Telma 40),,,Jun-2024,May-2027,Identification and Assay of Telmisartan,"Drugs Inspector, Bihar",The actual manufacturer (as per label claim) has informed that the impugned batch of the product has not been manufactured by them and that it is a spurious drug.,"The product is purported to be spurious, however, the same is subject to outcome of investigation.",,,,,,,
1.,"Norfloxacin Tablets IP 400 mg,",RNFT- 0 1 6,,Sep-26,"Mfg By: Revat Laboratories Pvt.Ltd, 1 2 - 3 2 1 , O p p I D A K u r n o o l r o a d , Pernamitta, Ongole - 523002 Andhra Pradesh.",Dissolution does not c o m p ly a s p e r I P 2 0 2 2 .,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Oct-24,"State Lab, D r u g s C o n t r o l L a b o r a t o r y , Telangana.",,,,,
2.,"Parenteral preprations, Oxytetracycline Hydrochloride Injection I.P. (Steclin Injection), Veterinary",STIA23 93,,Oct-25,"Mfg By: Zenex Animal Health India Pvt.Ltd, Plot No. 1&2, Near Erthardt Leimer, Sarkhej Bawla Highway, Sari Patiya, Dist: Ahmedabad - 382220. Gujarat.",Sample does not comply description as per IP 2022 Oxytetracycline Hydrochloride Injection I.P (Veterinary Monograph),,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Nov-23,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
